entry_number,entry_date,account_code,debit,credit,memo,reference
MR-JE-9001,2024-09-03,5000,14200.00,0,Hot-rolled coil lot 44,MR-AP-9001
MR-JE-9001,2024-09-03,2000,0,14200.00,Hot-rolled coil lot 44,MR-AP-9001
MR-JE-9002,2024-09-05,5000,8750.00,0,CNC frame machining,MR-AP-9002
MR-JE-9002,2024-09-05,2000,0,8750.00,CNC frame machining,MR-AP-9002
MR-JE-9003,2024-09-08,5900,3180.00,0,Outbound LTL week 36,MR-AP-9003
MR-JE-9003,2024-09-08,2000,0,3180.00,Outbound LTL week 36,MR-AP-9003
MR-JE-9004,2024-09-01,5100,4920.00,0,GPU burst capacity,MR-AP-9004
MR-JE-9004,2024-09-01,2000,0,4920.00,GPU burst capacity,MR-AP-9004
MR-JE-9005,2024-09-12,5500,15000.00,0,Q3 controls readiness,MR-AP-9005
MR-JE-9005,2024-09-12,2000,0,15000.00,Q3 controls readiness,MR-AP-9005
MR-JE-9101,2024-09-02,2000,14200.00,0,Pay Pacific Steel,MR-AP-9001
MR-JE-9101,2024-09-02,1000,0,14200.00,Pay Pacific Steel,MR-AP-9001
MR-JE-9102,2024-09-04,2000,8750.00,0,Pay Bay Precision,MR-AP-9002
MR-JE-9102,2024-09-04,1000,0,8750.00,Pay Bay Precision,MR-AP-9002
MR-JE-9103,2024-09-06,2000,3180.00,0,Pay Harbor Logistics,MR-AP-9003
MR-JE-9103,2024-09-06,1000,0,3180.00,Pay Harbor Logistics,MR-AP-9003
MR-JE-9104,2024-09-07,2000,4920.00,0,Pay Nimbus Compute,MR-AP-9004
MR-JE-9104,2024-09-07,1000,0,4920.00,Pay Nimbus Compute,MR-AP-9004
MR-JE-9105,2024-09-14,2000,15000.00,0,Pay Northshore Advisory,4481
MR-JE-9105,2024-09-14,1000,0,15000.00,Pay Northshore Advisory,4481
MR-JE-9201,2024-09-10,1000,62000.00,0,Apex Industrial receipt,INV-AR-771
MR-JE-9201,2024-09-10,4000,0,62000.00,Apex Industrial receipt,INV-AR-771
MR-JE-9202,2024-09-28,1000,9400.00,0,Summit Devices receipt,INV-AR-780
MR-JE-9202,2024-09-28,4000,0,9400.00,Summit Devices receipt,INV-AR-780
MR-JE-9301,2024-09-22,2000,7200.00,0,Clear check 4488 Bay Precision,4488
MR-JE-9301,2024-09-22,1000,0,7200.00,Clear check 4488 Bay Precision,4488
