Date,Amount,Description,Payee,Reference,Type,FITID
09/05/2018,-128400.00,ACH HELM PRECISION,Helm Precision Components,AE-AP-1801,ach,AE-BNK-1801
09/07/2018,-41250.00,WIRE ORBIT LOGISTICS EU,Orbit Logistics EU,AE-AP-1802,wire,AE-BNK-1802
09/11/2018,-18750.00,ACH NEXUS INDUSTRIAL,Nexus Industrial Gas,AE-AP-1803,ach,AE-BNK-1803
09/13/2018,-250000.00,ACH DELL FEDERAL SYSTEMS,Dell Federal Systems L.P.,AE-AP-1804,ach,AE-BNK-1804
09/15/2018,-95000.00,WIRE UC REGENTS,Regents of the University of California,AE-AP-1805,wire,AE-BNK-1805
09/18/2018,860000.00,WIRE IN EASTBAY MFG,Eastbay Manufacturing,INV-AR-441,wire,AE-BNK-1806
09/21/2018,420000.00,ACH CUSTOMER CLEARING,Canyon Software,INV-AR-448,ach,AE-BNK-1807
09/24/2018,175000.00,WIRE IN BLUEHARBOR,BlueHarbor Hospitals,INV-AR-452,wire,AE-BNK-1808
09/27/2018,-35.00,WIRE FEE INTERNATIONAL,First National Bank,FEE-927,fee,AE-BNK-1809
10/02/2018,340000.00,WIRE IN EASTBAY PO-441 CUTOFF,Eastbay Manufacturing,PO-441-CUTOFF,wire,AE-BNK-1810
